file_id,speaker,audio_name,augmentation,audio_path,mfcc_mean_0,mfcc_std_0,mfcc_max_0,mfcc_min_0,mfcc_mean_1,mfcc_std_1,mfcc_max_1,mfcc_min_1,mfcc_mean_2,mfcc_std_2,mfcc_max_2,mfcc_min_2,mfcc_mean_3,mfcc_std_3,mfcc_max_3,mfcc_min_3,mfcc_mean_4,mfcc_std_4,mfcc_max_4,mfcc_min_4,mfcc_mean_5,mfcc_std_5,mfcc_max_5,mfcc_min_5,mfcc_mean_6,mfcc_std_6,mfcc_max_6,mfcc_min_6,mfcc_mean_7,mfcc_std_7,mfcc_max_7,mfcc_min_7,mfcc_mean_8,mfcc_std_8,mfcc_max_8,mfcc_min_8,mfcc_mean_9,mfcc_std_9,mfcc_max_9,mfcc_min_9,mfcc_mean_10,mfcc_std_10,mfcc_max_10,mfcc_min_10,mfcc_mean_11,mfcc_std_11,mfcc_max_11,mfcc_min_11,mfcc_mean_12,mfcc_std_12,mfcc_max_12,mfcc_min_12,spectral_rolloff_mean,spectral_rolloff_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,rms_energy_mean,rms_energy_std,rms_energy_max,zcr_mean,zcr_std,chroma_mean_0,chroma_std_0,chroma_mean_1,chroma_std_1,chroma_mean_2,chroma_std_2,chroma_mean_3,chroma_std_3,chroma_mean_4,chroma_std_4,chroma_mean_5,chroma_std_5,chroma_mean_6,chroma_std_6,chroma_mean_7,chroma_std_7,chroma_mean_8,chroma_std_8,chroma_mean_9,chroma_std_9,chroma_mean_10,chroma_std_10,chroma_mean_11,chroma_std_11,duration,sample_rate,max_amplitude,mean_amplitude
2,Pam,Pam_Yes approve ,pitch_shift_up,audio_files/Pam_Yes approve .wav,-420.507,121.25871,-158.7283,-619.32263,69.56021,49.29409,185.70647,-43.014145,33.708416,26.33894,98.77925,-28.599037,32.521492,36.261646,124.8513,-24.741955,-15.914926,25.838558,25.37899,-65.89486,18.146574,19.719675,68.38932,-19.395996,-18.55671,19.090511,12.998394,-75.35767,2.561231,12.657276,34.753098,-32.334637,1.8102963,13.848797,30.384556,-40.64095,4.588411,14.247124,48.320034,-33.09005,-7.0275908,14.191743,21.462124,-46.276947,10.428344,8.607499,30.385166,-10.600754,-5.8677015,11.060942,15.571943,-29.028187,11972.782258064517,2997.4022181414284,5703.474674886467,2200.075140450231,5187.290361170573,834.7150070067183,0.033443857,0.044518966,0.19566429,0.13610671082949308,0.11476870814942752,0.49657574,0.320586,0.47703892,0.33052835,0.53385097,0.37788203,0.53169316,0.4086669,0.3796567,0.31135958,0.3565691,0.30317143,0.33621848,0.2833897,0.28607583,0.26449484,0.26035714,0.22759382,0.3167604,0.25926626,0.44738552,0.29507008,0.46380073,0.24151099,2.304,48000,0.46658325,0.026901571
2,Pam,Pam_Yes approve ,pitch_shift_down,audio_files/Pam_Yes approve .wav,-426.53262,114.99544,-189.0237,-615.2119,77.81246,47.991516,190.65735,-25.416508,21.6504,30.815556,85.24636,-53.954643,51.87245,40.83776,164.28726,-3.3996494,-15.534367,29.472786,25.487637,-72.35675,20.770563,14.426462,50.150955,-23.334846,-6.887401,14.2697935,26.817953,-36.960487,-6.967964,17.911224,27.385178,-60.019623,-1.3434,11.422828,23.05257,-39.080112,7.067323,7.156332,27.230913,-9.945286,-0.5396757,10.135033,26.76098,-27.78571,-1.64392,11.3473425,20.567673,-40.1723,7.5086064,7.8844633,28.399359,-10.109997,9666.294642857143,2447.741810325432,4528.02891135146,1788.6791517777758,4257.332953898734,783.5044886026565,0.033427272,0.047411095,0.20716612,0.10653306811635944,0.09360462402730643,0.43474188,0.31418076,0.39631775,0.3012715,0.3988849,0.30617607,0.37193716,0.2946274,0.35309723,0.29246354,0.3942212,0.2760834,0.5151075,0.29152006,0.5280913,0.24466963,0.5393789,0.3148796,0.5230514,0.33202624,0.54563314,0.3548249,0.56305426,0.40136543,2.304,48000,0.63845825,0.026983924
2,Pam,Pam_Yes approve ,time_stretch_slow,audio_files/Pam_Yes approve .wav,-425.09607,118.688774,-180.9375,-627.81415,75.66887,48.95033,185.49283,-35.92191,27.45422,27.905611,91.98001,-45.43809,44.206806,38.820328,150.3685,-10.243561,-17.575033,28.199583,28.01184,-69.002716,21.657064,18.028082,62.150517,-23.092974,-15.678433,16.543015,15.940113,-58.896606,-2.7510784,15.783506,28.24147,-50.545486,-0.9000179,13.367791,25.712633,-57.623077,8.130692,10.657744,37.718918,-12.14953,-8.024423,12.364277,18.65028,-40.27775,6.175152,11.149605,33.002018,-27.80313,-1.1848319,8.239464,15.571205,-29.193956,10609.21291493776,2716.142295672459,5002.169353571308,2084.792795449343,4643.835699987068,824.9004862873525,0.03597038,0.046865482,0.17553237,0.1185794054719917,0.10646944883168163,0.49928135,0.3538429,0.56774133,0.42708173,0.40997922,0.33483914,0.34470525,0.2954082,0.34026143,0.2897234,0.29610845,0.2638221,0.26238465,0.23673911,0.289896,0.259513,0.41109276,0.29194868,0.45411903,0.24683876,0.49328026,0.3307226,0.47216445,0.3356437,2.56,48000,0.5288391,0.029204464
2,Pam,Pam_Yes approve ,time_stretch_fast,audio_files/Pam_Yes approve .wav,-425.2666,121.35433,-179.96994,-635.82007,77.33058,49.494823,187.64937,-35.410393,26.553383,26.375937,86.278,-33.092083,44.541912,39.508846,149.23062,-14.481018,-18.133549,28.556822,28.03332,-71.1332,22.849386,18.352001,66.42184,-17.542387,-16.083694,17.198711,13.769211,-64.38483,-2.3080342,17.587019,35.500122,-53.703156,-0.96433175,13.176214,19.345549,-55.10349,8.550509,11.442915,36.67661,-15.152216,-8.230066,12.861073,21.17413,-43.85756,6.540714,10.665066,35.571278,-19.933044,-1.3580425,7.283433,13.4561615,-22.23057,10771.018401015228,2652.5159742615688,5067.094934225563,2043.290773115094,4702.69480674301,809.4668311080608,0.03418388,0.04269355,0.17646334,0.11887293781725888,0.10811818934415258,0.5887958,0.4198622,0.46487388,0.36053655,0.37565625,0.29200655,0.36254144,0.2823598,0.3235743,0.27408752,0.28923666,0.23618527,0.29999286,0.26549253,0.40075982,0.2644215,0.4756726,0.2687435,0.46367732,0.2729823,0.47748306,0.33982608,0.48502636,0.33373013,2.0945416666666667,48000,0.5543518,0.027383074
2,Pam,Pam_Yes approve ,noise_low,audio_files/Pam_Yes approve .wav,-317.55774,77.0222,-106.19154,-440.60995,39.03162,44.491085,167.01016,-50.823166,27.853088,23.427284,96.95845,-13.598672,28.986721,28.942238,120.064316,-24.286982,-7.5479946,19.325224,19.021141,-54.584953,10.70935,14.154084,46.921906,-24.176064,-4.5534596,14.068431,22.437119,-46.945984,-4.009111,15.675766,22.794048,-53.95552,1.7923936,10.1618805,25.178928,-41.265358,3.1211169,9.327067,29.2963,-18.712067,-4.073913,11.352863,17.432055,-33.966236,4.083954,10.167755,34.086174,-23.200012,-1.0763521,7.9358954,15.6862545,-23.12368,16031.574020737327,4223.595215475331,8517.217550917907,2951.7959185168042,6326.281415243019,1213.404015934637,0.05133874,0.06617922,0.28349435,0.25732421875,0.16030915250300573,0.55734044,0.3740756,0.5565302,0.40917793,0.45414367,0.3412599,0.43326163,0.32608587,0.42945388,0.3310169,0.3960534,0.3211681,0.38803124,0.31083167,0.42979708,0.29645464,0.54446554,0.28809583,0.5651653,0.22646771,0.56664175,0.31428146,0.53456897,0.33153686,2.304,48000,0.6680908,0.04075926
2,Pam,Pam_Yes approve ,noise_high,audio_files/Pam_Yes approve .wav,-244.49059,48.466873,-87.50184,-319.7462,21.520315,37.789192,147.80241,-47.11483,19.073053,19.732676,86.91614,-8.037624,17.990837,21.198973,94.0254,-27.025465,-3.4189572,13.382766,17.237772,-43.596672,5.599646,11.714035,41.34146,-23.642529,-0.83976084,11.782964,26.703884,-39.96174,-4.174378,13.033845,17.237282,-45.13395,2.0646987,9.536138,33.462234,-29.721558,1.6638368,8.075203,21.913273,-21.68947,-2.6149771,9.338937,17.02578,-32.2057,1.9046956,9.19038,24.954601,-26.070961,-1.4130383,6.8104095,11.414528,-18.87302,17893.61319124424,3048.6839597379208,9678.334001308167,2583.196670748029,6719.714373729526,819.6322085738606,0.05481762,0.06400616,0.28305292,0.31979496687788017,0.1759515416084822,0.57292813,0.36868834,0.548372,0.38405067,0.50300723,0.36944306,0.50595814,0.35476634,0.50706244,0.35009083,0.49753457,0.35928798,0.48757765,0.34682843,0.5072703,0.32241282,0.60956895,0.28735948,0.6458378,0.22652754,0.63887304,0.30233487,0.60155004,0.33891383,2.304,48000,0.666687,0.043608475
2,Pam,Pam_Yes approve ,speed_up,audio_files/Pam_Yes approve .wav,-422.18616,118.05989,-183.11946,-616.8553,72.98783,49.43483,184.28683,-38.508884,27.837496,25.764664,90.87242,-28.615452,43.039143,39.854298,147.43425,-15.233794,-17.563267,27.449715,24.79274,-69.39597,20.9492,18.407417,63.542835,-25.79121,-14.357447,15.668896,14.7354355,-55.214287,-2.6408613,16.068724,26.841354,-51.32304,-0.74710166,13.228959,22.041142,-54.870316,7.1739993,11.855179,37.611496,-14.354955,-9.222571,13.846424,17.602661,-43.203754,5.1155877,10.902425,30.802128,-26.325285,-2.437644,7.952781,11.625238,-23.381704,10811.41954787234,2745.660270187077,5121.706252845888,2003.8460655401584,4701.720857436811,828.133533205924,0.034968723,0.04500282,0.17151363,0.1292257106050532,0.10312776572047393,0.5159382,0.3607293,0.560669,0.41734216,0.39953297,0.32279682,0.337765,0.30493954,0.33116865,0.29216126,0.30461583,0.29217815,0.27591604,0.24655576,0.3098466,0.2672032,0.4329046,0.29514825,0.47067362,0.2472368,0.49358267,0.3007996,0.4749236,0.32537532,2.0034791666666667,48000,0.51556396,0.028063308
2,Pam,Pam_Yes approve ,speed_down,audio_files/Pam_Yes approve .wav,-419.9224,114.69854,-171.89275,-601.7463,70.989586,49.41185,182.36041,-39.206024,29.712051,27.017467,98.7951,-29.661732,42.362663,38.553455,147.65979,-15.220221,-15.136456,27.56306,29.454405,-68.80313,20.881996,17.817326,59.78069,-24.419804,-12.667138,16.92758,16.170048,-66.16165,-2.0215943,16.722874,30.418215,-54.130875,1.0362642,12.789597,21.044527,-54.792355,7.7556295,10.655592,36.522007,-13.908739,-7.003961,12.816567,19.776222,-43.017586,6.3395042,10.894655,33.384987,-24.171608,-1.1337627,8.354095,16.588686,-24.393871,10526.10294117647,2778.6433776563617,4966.924577375105,2095.045286975216,4646.699449656522,823.9599508844234,0.036787808,0.048108708,0.18054794,0.1146618412990196,0.11012091680059687,0.57271165,0.4141054,0.45077935,0.3641581,0.39452717,0.32661867,0.40273213,0.32396692,0.35581398,0.2922828,0.28838286,0.23624264,0.30130032,0.26062864,0.41112313,0.28130004,0.48667574,0.26870516,0.5028056,0.29606935,0.50085586,0.34079355,0.5142593,0.35259604,2.710583333333333,48000,0.4392395,0.030363891
3,Rele,Rele_Recording_1,original,audio_files/Rele_Recording_1.m4a,-534.6559,85.4227,-347.58752,-736.18823,116.131256,44.276325,228.9702,2.004809,10.549726,24.880234,75.08391,-45.02141,29.696905,25.560843,101.762344,-12.00585,6.423662,25.391062,54.904022,-62.785545,16.02449,12.670896,64.48367,-7.993232,-2.4046156,16.514648,17.530169,-59.751556,0.2568699,9.123623,20.412455,-33.43335,1.8264061,8.98103,16.63335,-20.445423,5.625827,11.874296,28.266928,-26.019955,0.13735995,11.845761,26.719444,-27.927694,1.1380727,9.0234,16.662222,-23.642239,0.014209665,8.52309,15.349708,-23.962587,6023.059475806452,3265.3348150786846,3110.9405958970415,1925.2863184823495,3605.2625839176753,833.0300749339834,0.008089381,0.011679182,0.046748534,0.06618836105510753,0.07734686402932038,0.600745,0.3088816,0.60363555,0.34966215,0.5871429,0.3626354,0.5391298,0.35468793,0.5114899,0.33094844,0.5135704,0.30682597,0.5088382,0.317073,0.4559674,0.24025038,0.54894406,0.25321025,0.596248,0.24700835,0.59891343,0.250659,0.6035539,0.287747,1.9826666666666666,48000,0.10534668,0.006232778
3,Rele,Rele_Recording_1,pitch_shift_up,audio_files/Rele_Recording_1.m4a,-569.8638,87.73479,-378.36072,-796.5233,117.22648,44.80196,218.89273,-6.383952,6.7453365,22.172365,63.34244,-37.83499,29.995632,21.872587,89.232925,-18.060371,1.681004,24.341188,36.43662,-61.573597,14.296628,16.066298,71.93557,-26.200676,-8.29772,18.990238,15.671907,-64.68146,3.1680121,7.6320877,21.500822,-25.582972,1.5333649,10.347619,21.49495,-21.560444,4.796193,12.67195,29.731083,-25.104923,-2.8907037,11.071252,19.475262,-32.20788,3.4967766,10.767585,27.131992,-27.573956,-3.0066888,10.765499,14.492208,-39.921303,7088.331653225807,3709.825169856498,3642.8692051721964,2175.5373944187936,4110.751137206214,915.6586375946113,0.0046962714,0.006153876,0.021603126,0.08043777301747312,0.09494784718310598,0.5665202,0.26433688,0.57377595,0.30669475,0.5934533,0.32933527,0.584045,0.33952615,0.56798166,0.37052658,0.49908468,0.33733737,0.4933623,0.32262322,0.48616812,0.28764063,0.46063814,0.29522517,0.41811645,0.23552556,0.52984965,0.26696843,0.5942746,0.28574103,1.9826666666666666,48000,0.048797607,0.0037296033
3,Rele,Rele_Recording_1,pitch_shift_down,audio_files/Rele_Recording_1.m4a,-571.85364,81.99365,-388.01785,-762.1922,117.21075,40.997353,221.01367,2.602846,11.595246,28.148193,81.681496,-51.32682,31.29786,28.963158,116.68363,-11.67998,8.020912,24.863417,56.149246,-59.877167,17.489048,11.957327,53.706062,-5.914248,2.724868,13.448589,25.144146,-40.04624,-1.9561594,11.920191,18.609112,-31.450193,0.69207525,8.274604,15.551783,-27.704342,3.7424061,8.896582,19.199993,-19.563345,2.8316438,10.8624935,28.874722,-25.403389,-0.9629054,10.270948,23.783237,-31.732306,2.4287727,7.6517816,19.100176,-21.242563,5525.705645161291,3157.9164805346973,2863.5782054248516,1770.9040884208343,3483.9202137201846,882.0241326127637,0.006028479,0.00911079,0.035899848,0.058013587869623656,0.07268611726730008,0.5718556,0.34850067,0.5515162,0.3795564,0.52035964,0.3468705,0.51761776,0.3296244,0.5057417,0.32310987,0.48547786,0.2683261,0.58054775,0.26718432,0.6290389,0.25536913,0.6007835,0.24785212,0.582739,0.273076,0.56033427,0.29862145,0.53877455,0.3099357,1.9826666666666666,48000,0.081329346,0.004863369
